US,AO,FO,W,Years
3.5,2.88,2.23,2.92,2016
3.3,2.35,2.0,2.75,2015
3.0,2.01,1.84,2.57,2014
2.6,1.84,1.67,2.34,2013
1.9,1.75,1.39,1.7,2012
1.8,1.67,1.34,1.6,2011
1.7,1.59,1.25,1.46,2010
1.6,1.52,1.24,1.24,2009
1.4,1.04,1.11,1.1,2008
1.4,0.97,1.11,1.02,2007
1.2,0.97,,0.96,2006
1.1,0.935,1,0.92,2005
1.0,0.924,1,0.88,2004
1.0,0.684,0.85,0.84,2003
0.9,,,0.76,2002
0.85,,,0.73,2001
0.80,0.57,0.72,0.7,2000
0.75,0.55,,0.66,1999
0.70,,,0.64,1998
0.65,,,0.61,1997
0.60,,,0.57,1996
0.575,,,0.53,1995
0.55,,,0.5,1994
0.535,0.31,0.5,0.45,1993
0.50,0.27,0.46,0.39,1992
0.40,,,0.35,1991
0.35,0.24,0.37,0.34,1990
0.30,,0.29,0.28,1989
0.275,,0.25,0.24,1988
0.25,0.08,0.22,0.23,1987
0.21,,0.24,0.2,1986
0.1875,,0.24,0.19,1985
0.16,,0.18,0.15,1984
0.12,,0.11,0.1,1983
0.09,0.05,0.07,0.06,1982
0.066,,0.05,0.032,1981
0.046,,,0.03,1980
0.039,,0.04,0.03,1979
0.038,,0.03,0.027,1978
0.033,,0.03,0.022,1977